Bloom Level,Learning Objective,Ch 1: The Body's Chemical Mail System,Ch 2: Mission Control: The Hypothalamus and Pituitary,Ch 3: The Fuel Manager: Insulin and Blood Sugar,Ch 4: The Metabolic Thermostat: Thyroid,"Ch 5: Stress Chemistry: Adrenaline, Cortisol, and the DHEA Question","Ch 6: The Sex Hormone Network: Testosterone, Estradiol, and the HPG Axis","Ch 7: Estradiol's Hidden Job Description: Bone, Brain, Libido, and Joints",Ch 8: Hunger's Two Voices: Leptin and Ghrelin,Ch 9: Build and Repair: Growth Hormone and IGF-1,Ch 10: Crossed Wires: How Hormones Talk to Each Other,"Ch 11: The Four Levers: Sleep, Stress, Nutrition, and Training",Ch 12: The Whole Symphony: Putting Hormones Together
understand,"Distinguish between endocrine and nervous system signaling based on speed, duration, and target specificity",I,D,,,,,,,,M,,
understand,"Classify hormones into families (steroid, peptide, amine) and explain how molecular structure determines receptor specificity",I,,D,,,M,,,,,,
analyze,Analyze negative feedback loops to predict how changes in hormone levels trigger compensatory responses,I,,,D,,,,,,M,,
understand,Map the hypothalamic-pituitary-target gland axis and explain the three-level feedback mechanism,,I,,D,,M,,,,,,
apply,Apply insulin and glucagon signaling to predict blood glucose regulation in fed and fasted states,,,I,,,,,D,,,M,
evaluate,"Evaluate the relationship between insulin sensitivity, lifestyle factors, and metabolic health",,,I,,,,,,,D,M,
understand,Trace the thyroid axis and explain how T4-to-T3 conversion regulates metabolic rate,,,,I,,,,,,D,,M
analyze,Compare adrenaline and cortisol as fast and slow stress responses and predict their tissue effects,,,,,I,,,,,D,M,
understand,Explain the HPG axis and describe how testosterone and estradiol are produced and regulated in all sexes,,,,,,I,D,,,,,M
evaluate,"Evaluate estradiol's roles across bone, brain, and connective tissue health independent of reproductive function",,,,,,,I,,,D,,M
analyze,Distinguish ghrelin and leptin signaling and analyze how each regulates short-term and long-term appetite,,,,,,,,I,,D,M,
apply,Describe growth hormone release patterns and apply sleep and training principles to optimize anabolic signaling,,,,,,,,,I,,D,M
analyze,Analyze hormonal cross-talk to predict how one axis influences the sensitivity or output of another,,,,,,,,,,I,D,M
evaluate,"Evaluate sleep, stress, nutrition, and training as primary levers that move hormonal outputs across all systems",,,,,I,,,,,,D,M
create,Create an integrated hormonal profile connecting multiple axes and predict system-wide responses to lifestyle interventions,,,,,,,,,,I,D,M